Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
The Galleria,Gemini Link Tote,Beige,Leather,Medium,Da Nang,46,15,61,Winter,154,123,64,-59
Westfield World Trade Center,Ella Tote,Blue,Coated Canvas,Medium,Shenzhen,48,17,65,Summer,195,195,173,-22
Pacific Centre,Ella Tote,Metallic,Jacquard,Small,Hanoi,49,18,67,Fall,191,210,54,-156
Aventura Mall,Ella Tote,Green,Pebbled Leather,Large,Shenzhen,37,14,51,Winter,293,234,128,-106
South Coast Plaza,Perry Tote,Blue,Canvas,Small,Hanoi,40,16,56,Winter,233,186,84,-102
The Galleria,Kira Chevron Tote,Beige,Jacquard,Small,Ho Chi Minh City,48,18,66,Fall,168,184,44,-140
Soho,Britten Tote,Red,Coated Canvas,Large,Ho Chi Minh City,41,18,59,Fall,114,125,97,-28
Westfield World Trade Center,Perry Tote,Gray,Pebbled Leather,Small,Da Nang,35,15,50,Spring,159,190,148,-42
Yorkdale Shopping Centre,Gemini Link Tote,Yellow,Coated Canvas,Large,Shenzhen,43,15,58,Summer,204,204,72,-132
South Coast Plaza,McGraw Tote,Beige,Pebbled Leather,Large,Shenzhen,41,15,56,Spring,293,351,358,7
San Francisco Centre,Britten Tote,Pink,Canvas,Medium,Shenzhen,48,17,65,Winter,120,96,125,29
Yorkdale Shopping Centre,Gemini Link Tote,Blue,Coated Canvas,Large,Ho Chi Minh City,49,17,66,Fall,246,270,33,-237
The Galleria,T Monogram Tote,Green,Coated Canvas,Large,Ho Chi Minh City,47,16,63,Spring,184,220,228,8
The Galleria,Gemini Link Tote,Black,Pebbled Leather,Small,Ho Chi Minh City,46,18,64,Winter,266,212,208,-4
Aventura Mall,McGraw Tote,Pink,Leather,Small,Da Nang,40,17,57,Winter,175,140,18,-122
Pacific Centre,Gemini Link Tote,Yellow,Jacquard,Large,Da Nang,40,16,56,Summer,125,125,97,-28
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Pink,Pebbled Leather,Small,Shenzhen,30,15,45,Winter,54,43,79,36
Oak Street,T Monogram Tote,Gray,Canvas,Large,Guangzhou,48,14,62,Fall,86,94,59,-35
Pacific Centre,T Monogram Tote,Beige,Pebbled Leather,Large,Da Nang,46,14,60,Fall,78,85,38,-47
El Palacio de Hierro (Santa Fe),Britten Tote,Purple,Coated Canvas,Medium,Ho Chi Minh City,44,16,60,Fall,97,106,114,8
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Metallic,Jacquard,Medium,Hanoi,38,14,52,Winter,67,53,90,37
El Palacio de Hierro (Polanco),Perry Tote,Brown,Leather,Small,Shenzhen,36,17,53,Spring,178,213,130,-83
Aventura Mall,McGraw Tote,Green,Canvas,Medium,Shenzhen,46,18,64,Summer,278,278,150,-128
Oak Street,T Monogram Tote,Gray,Coated Canvas,Mini,Shenzhen,45,16,61,Fall,185,203,218,15
NorthPark Center,Perry Tote,Brown,Pebbled Leather,Small,Guangzhou,36,16,52,Fall,89,97,72,-25
El Palacio de Hierro (Polanco),Robinson Tote,Black,Canvas,Medium,Guangzhou,42,16,58,Spring,147,176,77,-99
Rodeo Drive,Perry Tote,Black,Pebbled Leather,Medium,Hanoi,30,18,48,Fall,114,125,84,-41
El Palacio de Hierro (Polanco),Britten Tote,Black,Pebbled Leather,Medium,Da Nang,39,15,54,Spring,249,298,40,-258
Oak Street,Kira Chevron Tote,Gray,Coated Canvas,Small,Guangzhou,35,17,52,Winter,281,224,28,-196
Rodeo Drive,Robinson Tote,Yellow,Coated Canvas,Small,Da Nang,31,15,46,Winter,195,156,165,9
Aventura Mall,T Monogram Tote,Metallic,Pebbled Leather,Mini,Hanoi,50,17,67,Fall,152,167,177,10
San Francisco Centre,Britten Tote,Purple,Jacquard,Mini,Da Nang,38,14,52,Spring,296,355,279,-76
Oak Street,Britten Tote,Gray,Canvas,Large,Guangzhou,32,16,48,Summer,259,259,169,-90
Bal Harbour Shops,Ella Tote,Gray,Coated Canvas,Medium,Ho Chi Minh City,37,15,52,Spring,224,268,295,27
NorthPark Center,Robinson Tote,Black,Canvas,Medium,Shenzhen,47,16,63,Fall,66,72,122,50
The Galleria,Britten Tote,Black,Pebbled Leather,Small,Hanoi,49,17,66,Summer,253,253,300,47
Bal Harbour Shops,T Monogram Tote,Beige,Pebbled Leather,Mini,Ho Chi Minh City,30,16,46,Summer,105,105,82,-23
NorthPark Center,Ella Tote,Pink,Leather,Mini,Hanoi,44,18,62,Summer,251,251,23,-228
The Galleria,Gemini Link Tote,Pink,Leather,Large,Shenzhen,39,17,56,Fall,224,246,249,3
Bal Harbour Shops,Britten Tote,Green,Canvas,Medium,Guangzhou,33,16,49,Winter,91,72,111,39
Madison Avenue,T Monogram Tote,White,Leather,Small,Da Nang,35,15,50,Winter,242,193,205,12
Pacific Centre,T Monogram Tote,Brown,Coated Canvas,Medium,Guangzhou,39,17,56,Summer,142,142,89,-53
Rodeo Drive,Gemini Link Tote,Multi,Pebbled Leather,Medium,Hanoi,47,17,64,Spring,99,118,47,-71
Bal Harbour Shops,Ella Tote,Metallic,Leather,Medium,Ho Chi Minh City,46,14,60,Fall,230,253,1,-252
El Palacio de Hierro (Polanco),Britten Tote,Green,Leather,Mini,Shenzhen,31,16,47,Spring,50,60,18,-42
Yorkdale Shopping Centre,Gemini Link Tote,Metallic,Leather,Medium,Guangzhou,35,15,50,Summer,214,214,251,37
Rodeo Drive,T Monogram Tote,Black,Pebbled Leather,Mini,Da Nang,30,15,45,Fall,90,99,63,-36
NorthPark Center,Ella Tote,Red,Canvas,Medium,Ho Chi Minh City,48,16,64,Winter,105,84,40,-44
San Francisco Centre,T Monogram Tote,Gray,Pebbled Leather,Medium,Da Nang,38,15,53,Winter,265,212,260,48
South Coast Plaza,Gemini Link Tote,Gray,Jacquard,Small,Hanoi,38,14,52,Summer,89,89,72,-17
Soho,Perry Tote,Brown,Jacquard,Mini,Hanoi,34,15,49,Winter,200,160,190,30
Madison Avenue,McGraw Tote,Multi,Pebbled Leather,Large,Ho Chi Minh City,33,15,48,Summer,249,249,51,-198
San Francisco Centre,Kira Chevron Tote,Red,Leather,Large,Da Nang,34,17,51,Winter,293,234,165,-69
El Palacio de Hierro (Polanco),Perry Tote,Yellow,Pebbled Leather,Medium,Ho Chi Minh City,34,18,52,Spring,300,360,129,-231
Bal Harbour Shops,Ella Tote,Yellow,Pebbled Leather,Medium,Guangzhou,31,15,46,Summer,148,148,102,-46
El Palacio de Hierro (Polanco),Kira Chevron Tote,Gray,Pebbled Leather,Large,Hanoi,36,14,50,Winter,169,135,46,-89
Westfield World Trade Center,T Monogram Tote,Gray,Coated Canvas,Small,Ho Chi Minh City,33,16,49,Winter,121,96,133,37
NorthPark Center,Britten Tote,Beige,Leather,Medium,Hanoi,43,15,58,Spring,284,340,177,-163
Pacific Centre,Gemini Link Tote,Beige,Canvas,Mini,Shenzhen,41,14,55,Winter,187,149,197,48
Yorkdale Shopping Centre,Gemini Link Tote,Yellow,Jacquard,Small,Guangzhou,49,14,63,Winter,228,182,208,26
The Galleria,Perry Tote,Purple,Jacquard,Small,Hanoi,49,14,63,Summer,270,270,24,-246
Aventura Mall,T Monogram Tote,Red,Leather,Mini,Da Nang,36,16,52,Spring,199,238,153,-85
NorthPark Center,Ella Tote,Purple,Leather,Medium,Hanoi,46,15,61,Spring,140,168,131,-37
The Galleria,Britten Tote,Gray,Coated Canvas,Mini,Shenzhen,49,15,64,Summer,226,226,26,-200
Bal Harbour Shops,McGraw Tote,Black,Coated Canvas,Large,Hanoi,30,17,47,Spring,244,292,196,-96
Yorkdale Shopping Centre,Perry Tote,White,Pebbled Leather,Mini,Hanoi,42,18,60,Summer,69,69,57,-12
The Galleria,T Monogram Tote,Yellow,Jacquard,Small,Hanoi,49,14,63,Summer,196,196,185,-11
The Galleria,Robinson Tote,Purple,Jacquard,Large,Ho Chi Minh City,32,15,47,Spring,97,116,39,-77
El Palacio de Hierro (Polanco),Robinson Tote,White,Jacquard,Mini,Ho Chi Minh City,38,16,54,Spring,166,199,186,-13
Oak Street,Perry Tote,Beige,Canvas,Small,Guangzhou,48,17,65,Summer,233,233,222,-11
Madison Avenue,Britten Tote,Multi,Canvas,Medium,Shenzhen,44,16,60,Fall,62,68,78,10
El Palacio de Hierro (Santa Fe),Ella Tote,White,Canvas,Small,Ho Chi Minh City,40,16,56,Winter,86,68,97,29
The Galleria,Robinson Tote,Beige,Leather,Small,Shenzhen,31,17,48,Spring,177,212,8,-204
Aventura Mall,Robinson Tote,Brown,Canvas,Large,Hanoi,39,14,53,Winter,225,180,168,-12
NorthPark Center,T Monogram Tote,White,Leather,Large,Hanoi,33,15,48,Fall,238,261,200,-61
Yorkdale Shopping Centre,McGraw Tote,Black,Leather,Large,Shenzhen,45,15,60,Winter,184,147,35,-112
Soho,Perry Tote,Gray,Jacquard,Medium,Guangzhou,49,16,65,Summer,174,174,217,43
Oak Street,T Monogram Tote,Multi,Coated Canvas,Mini,Guangzhou,35,18,53,Spring,190,228,61,-167
San Francisco Centre,Britten Tote,Beige,Canvas,Large,Da Nang,30,14,44,Winter,199,159,107,-52
Yorkdale Shopping Centre,T Monogram Tote,Purple,Coated Canvas,Mini,Hanoi,33,15,48,Winter,75,60,4,-56
El Palacio de Hierro (Polanco),T Monogram Tote,Metallic,Coated Canvas,Small,Shenzhen,35,15,50,Spring,195,234,38,-196
Madison Avenue,Kira Chevron Tote,Brown,Pebbled Leather,Medium,Shenzhen,49,18,67,Spring,117,140,110,-30
Oak Street,Gemini Link Tote,Metallic,Pebbled Leather,Small,Hanoi,37,15,52,Summer,66,66,54,-12
Aventura Mall,Robinson Tote,Black,Canvas,Mini,Shenzhen,41,16,57,Winter,161,128,33,-95
Rodeo Drive,Ella Tote,Green,Jacquard,Large,Hanoi,42,14,56,Winter,226,180,145,-35
Oak Street,Gemini Link Tote,Gray,Leather,Mini,Hanoi,48,17,65,Spring,174,208,240,32
Rodeo Drive,Kira Chevron Tote,Yellow,Jacquard,Medium,Da Nang,36,15,51,Spring,299,358,67,-291
San Francisco Centre,Ella Tote,Purple,Canvas,Small,Ho Chi Minh City,39,14,53,Winter,138,110,20,-90
Pacific Centre,T Monogram Tote,Green,Pebbled Leather,Large,Shenzhen,36,17,53,Fall,78,85,94,9
Rodeo Drive,Gemini Link Tote,Green,Pebbled Leather,Mini,Hanoi,36,16,52,Summer,217,217,179,-38
Aventura Mall,Britten Tote,Black,Leather,Medium,Shenzhen,47,18,65,Summer,151,151,163,12
Westfield World Trade Center,Britten Tote,Metallic,Canvas,Small,Shenzhen,32,14,46,Summer,51,51,13,-38
Aventura Mall,Ella Tote,Brown,Canvas,Mini,Da Nang,45,17,62,Fall,210,231,69,-162
San Francisco Centre,Perry Tote,Beige,Canvas,Large,Hanoi,35,16,51,Winter,119,95,116,21
NorthPark Center,McGraw Tote,Green,Canvas,Small,Guangzhou,50,17,67,Spring,63,75,6,-69
Soho,Robinson Tote,Green,Leather,Mini,Hanoi,32,16,48,Spring,140,168,206,38
Madison Avenue,T Monogram Tote,Metallic,Canvas,Small,Guangzhou,31,14,45,Winter,179,143,110,-33
Yorkdale Shopping Centre,Gemini Link Tote,Multi,Pebbled Leather,Large,Guangzhou,42,16,58,Spring,175,210,43,-167
Soho,Ella Tote,Pink,Pebbled Leather,Medium,Da Nang,44,14,58,Summer,141,141,66,-75
El Palacio de Hierro (Polanco),Gemini Link Tote,Green,Canvas,Mini,Da Nang,35,14,49,Winter,88,70,90,20
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Metallic,Coated Canvas,Small,Shenzhen,37,14,51,Summer,183,183,168,-15
El Palacio de Hierro (Santa Fe),Robinson Tote,Green,Leather,Small,Ho Chi Minh City,34,18,52,Summer,255,255,51,-204
The Galleria,Robinson Tote,Red,Jacquard,Small,Ho Chi Minh City,34,14,48,Fall,180,198,47,-151
Westfield World Trade Center,Kira Chevron Tote,Gray,Jacquard,Mini,Hanoi,44,18,62,Winter,69,55,11,-44
Yorkdale Shopping Centre,McGraw Tote,Yellow,Leather,Small,Shenzhen,37,16,53,Summer,146,146,51,-95
San Francisco Centre,Kira Chevron Tote,Black,Canvas,Large,Ho Chi Minh City,31,17,48,Winter,273,218,222,4
Rodeo Drive,Ella Tote,Beige,Canvas,Mini,Ho Chi Minh City,49,15,64,Summer,296,296,107,-189
Pacific Centre,Kira Chevron Tote,Metallic,Jacquard,Small,Shenzhen,33,17,50,Summer,110,110,92,-18
South Coast Plaza,McGraw Tote,Blue,Canvas,Small,Shenzhen,42,17,59,Summer,77,77,85,8
Soho,Robinson Tote,Blue,Jacquard,Mini,Hanoi,40,18,58,Fall,54,59,52,-7
Rodeo Drive,McGraw Tote,Blue,Leather,Medium,Ho Chi Minh City,32,17,49,Fall,300,330,191,-139
NorthPark Center,T Monogram Tote,Multi,Jacquard,Medium,Shenzhen,40,14,54,Fall,292,321,236,-85
The Galleria,Ella Tote,Metallic,Canvas,Large,Shenzhen,45,14,59,Spring,63,75,84,9
El Palacio de Hierro (Santa Fe),Ella Tote,Gray,Coated Canvas,Large,Guangzhou,34,17,51,Fall,93,102,67,-35
Bal Harbour Shops,Britten Tote,White,Pebbled Leather,Small,Ho Chi Minh City,46,16,62,Summer,213,213,44,-169
Aventura Mall,T Monogram Tote,Brown,Leather,Medium,Hanoi,49,17,66,Winter,184,147,13,-134
Rodeo Drive,Britten Tote,Yellow,Leather,Small,Shenzhen,48,15,63,Summer,151,151,4,-147
Yorkdale Shopping Centre,Britten Tote,Blue,Canvas,Mini,Guangzhou,34,17,51,Fall,269,295,305,10
El Palacio de Hierro (Santa Fe),Robinson Tote,Beige,Canvas,Mini,Guangzhou,36,14,50,Fall,279,306,63,-243
South Coast Plaza,Kira Chevron Tote,Brown,Canvas,Mini,Shenzhen,47,16,63,Winter,253,202,107,-95
Madison Avenue,Britten Tote,Metallic,Leather,Medium,Hanoi,48,17,65,Fall,192,211,209,-2
Madison Avenue,Britten Tote,Red,Pebbled Leather,Medium,Hanoi,43,15,58,Fall,279,306,184,-122
Yorkdale Shopping Centre,T Monogram Tote,Purple,Leather,Medium,Shenzhen,33,16,49,Winter,266,212,120,-92
Pacific Centre,McGraw Tote,White,Leather,Medium,Ho Chi Minh City,36,15,51,Spring,192,230,8,-222
Soho,Kira Chevron Tote,Brown,Canvas,Large,Da Nang,47,17,64,Summer,298,298,36,-262
The Galleria,T Monogram Tote,Brown,Canvas,Large,Ho Chi Minh City,48,17,65,Fall,128,140,4,-136
Soho,Gemini Link Tote,Pink,Leather,Medium,Ho Chi Minh City,35,14,49,Winter,290,232,267,35
Westfield World Trade Center,T Monogram Tote,Green,Coated Canvas,Medium,Guangzhou,41,17,58,Fall,242,266,185,-81
El Palacio de Hierro (Santa Fe),Britten Tote,Blue,Coated Canvas,Large,Da Nang,40,15,55,Fall,94,103,87,-16
The Galleria,T Monogram Tote,Red,Coated Canvas,Medium,Hanoi,47,15,62,Winter,268,214,91,-123
Pacific Centre,Gemini Link Tote,Black,Coated Canvas,Small,Guangzhou,43,14,57,Spring,289,346,223,-123
Westfield World Trade Center,T Monogram Tote,Brown,Leather,Small,Ho Chi Minh City,37,17,54,Winter,176,140,85,-55
Aventura Mall,Perry Tote,Multi,Coated Canvas,Small,Shenzhen,30,14,44,Summer,175,175,101,-74
El Palacio de Hierro (Santa Fe),Perry Tote,Pink,Leather,Small,Guangzhou,32,16,48,Fall,70,77,90,13
Rodeo Drive,T Monogram Tote,Blue,Pebbled Leather,Small,Shenzhen,43,17,60,Winter,97,77,83,6
Rodeo Drive,T Monogram Tote,Gray,Canvas,Small,Ho Chi Minh City,40,16,56,Spring,79,94,111,17
NorthPark Center,Robinson Tote,Yellow,Canvas,Medium,Hanoi,39,14,53,Summer,74,74,23,-51
Rodeo Drive,Perry Tote,Metallic,Jacquard,Medium,Shenzhen,50,15,65,Spring,165,198,9,-189
Yorkdale Shopping Centre,Britten Tote,Blue,Canvas,Large,Shenzhen,36,14,50,Winter,92,73,99,26
Yorkdale Shopping Centre,Britten Tote,Blue,Leather,Large,Guangzhou,40,16,56,Fall,128,140,158,18
Madison Avenue,McGraw Tote,Green,Leather,Medium,Guangzhou,46,16,62,Spring,263,315,18,-297
Oak Street,Ella Tote,Brown,Jacquard,Small,Hanoi,47,16,63,Fall,100,110,33,-77
South Coast Plaza,Gemini Link Tote,Gray,Coated Canvas,Medium,Da Nang,39,15,54,Summer,287,287,38,-249
Aventura Mall,Perry Tote,Beige,Leather,Large,Guangzhou,32,17,49,Spring,63,75,18,-57
South Coast Plaza,Robinson Tote,Green,Leather,Small,Guangzhou,48,17,65,Winter,117,93,37,-56
Bal Harbour Shops,Ella Tote,Green,Canvas,Small,Guangzhou,41,18,59,Fall,205,225,162,-63
Yorkdale Shopping Centre,Gemini Link Tote,Black,Jacquard,Mini,Ho Chi Minh City,49,17,66,Spring,174,208,94,-114
Pacific Centre,Gemini Link Tote,Green,Pebbled Leather,Medium,Da Nang,32,16,48,Summer,298,298,201,-97
Rodeo Drive,Britten Tote,Black,Pebbled Leather,Large,Shenzhen,43,17,60,Summer,124,124,42,-82
Bal Harbour Shops,T Monogram Tote,Metallic,Pebbled Leather,Mini,Ho Chi Minh City,48,15,63,Summer,58,58,8,-50
Pacific Centre,T Monogram Tote,Pink,Coated Canvas,Large,Da Nang,35,14,49,Winter,75,60,11,-49
Madison Avenue,Britten Tote,Black,Canvas,Small,Guangzhou,47,15,62,Summer,264,264,225,-39
Rodeo Drive,Perry Tote,Yellow,Leather,Medium,Ho Chi Minh City,31,14,45,Winter,117,93,126,33
San Francisco Centre,Gemini Link Tote,Gray,Canvas,Mini,Ho Chi Minh City,37,15,52,Spring,204,244,247,3
Rodeo Drive,T Monogram Tote,Green,Pebbled Leather,Small,Shenzhen,49,14,63,Summer,299,299,244,-55
South Coast Plaza,Perry Tote,Purple,Coated Canvas,Medium,Shenzhen,35,16,51,Fall,144,158,171,13
Oak Street,Britten Tote,Metallic,Pebbled Leather,Small,Ho Chi Minh City,46,16,62,Spring,129,154,178,24
El Palacio de Hierro (Polanco),Gemini Link Tote,Purple,Pebbled Leather,Medium,Hanoi,34,15,49,Winter,188,150,28,-122
Pacific Centre,Ella Tote,Red,Jacquard,Small,Da Nang,30,16,46,Fall,132,145,113,-32
Westfield World Trade Center,McGraw Tote,Pink,Pebbled Leather,Large,Guangzhou,36,15,51,Summer,68,68,13,-55
San Francisco Centre,Robinson Tote,Pink,Leather,Mini,Shenzhen,40,16,56,Summer,152,152,82,-70
Soho,Britten Tote,Yellow,Canvas,Small,Shenzhen,33,15,48,Summer,265,265,27,-238
Aventura Mall,McGraw Tote,Green,Jacquard,Large,Shenzhen,35,15,50,Fall,167,183,89,-94
South Coast Plaza,McGraw Tote,Red,Coated Canvas,Large,Shenzhen,40,18,58,Spring,186,223,158,-65
Bal Harbour Shops,McGraw Tote,White,Pebbled Leather,Large,Guangzhou,47,14,61,Summer,195,195,212,17
Madison Avenue,McGraw Tote,Gray,Leather,Small,Hanoi,35,17,52,Spring,230,276,228,-48
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Beige,Pebbled Leather,Medium,Hanoi,43,18,61,Spring,254,304,120,-184
Oak Street,Gemini Link Tote,Blue,Canvas,Mini,Ho Chi Minh City,33,17,50,Winter,266,212,26,-186
NorthPark Center,Perry Tote,Gray,Canvas,Mini,Guangzhou,47,18,65,Spring,52,62,77,15
Oak Street,McGraw Tote,Yellow,Canvas,Medium,Shenzhen,32,18,50,Summer,111,111,17,-94
San Francisco Centre,Robinson Tote,Black,Pebbled Leather,Mini,Guangzhou,35,17,52,Fall,94,103,55,-48
El Palacio de Hierro (Santa Fe),McGraw Tote,Green,Canvas,Large,Hanoi,33,17,50,Fall,71,78,9,-69
Madison Avenue,McGraw Tote,Brown,Canvas,Medium,Guangzhou,48,17,65,Summer,80,80,68,-12
Aventura Mall,Robinson Tote,Black,Jacquard,Large,Hanoi,39,17,56,Fall,287,315,128,-187
El Palacio de Hierro (Polanco),Britten Tote,Multi,Pebbled Leather,Medium,Da Nang,38,18,56,Summer,214,214,11,-203
San Francisco Centre,Gemini Link Tote,Green,Canvas,Mini,Da Nang,39,16,55,Fall,157,172,147,-25
Westfield World Trade Center,Ella Tote,Multi,Coated Canvas,Large,Shenzhen,36,16,52,Fall,229,251,132,-119
Oak Street,Kira Chevron Tote,Black,Leather,Small,Guangzhou,41,14,55,Winter,141,112,149,37
NorthPark Center,Gemini Link Tote,Yellow,Leather,Small,Shenzhen,36,14,50,Spring,131,157,183,26
The Galleria,Perry Tote,Metallic,Jacquard,Mini,Guangzhou,34,14,48,Winter,234,187,96,-91
Madison Avenue,Kira Chevron Tote,Metallic,Coated Canvas,Large,Da Nang,48,17,65,Summer,169,169,63,-106
San Francisco Centre,Robinson Tote,Multi,Jacquard,Small,Hanoi,48,18,66,Summer,191,191,151,-40
South Coast Plaza,Gemini Link Tote,Purple,Pebbled Leather,Large,Hanoi,38,17,55,Winter,253,202,231,29
South Coast Plaza,T Monogram Tote,White,Pebbled Leather,Medium,Shenzhen,50,16,66,Fall,228,250,7,-243
Aventura Mall,McGraw Tote,Blue,Pebbled Leather,Small,Shenzhen,47,17,64,Winter,106,84,59,-25
El Palacio de Hierro (Santa Fe),T Monogram Tote,Metallic,Jacquard,Small,Shenzhen,50,16,66,Winter,250,200,1,-199
El Palacio de Hierro (Polanco),Kira Chevron Tote,Yellow,Leather,Large,Da Nang,47,16,63,Spring,75,90,35,-55
El Palacio de Hierro (Polanco),Britten Tote,Red,Leather,Large,Hanoi,39,17,56,Winter,195,156,38,-118
Yorkdale Shopping Centre,T Monogram Tote,Purple,Pebbled Leather,Small,Shenzhen,50,17,67,Summer,274,274,118,-156
South Coast Plaza,T Monogram Tote,Pink,Coated Canvas,Large,Shenzhen,44,17,61,Spring,97,116,101,-15
Westfield World Trade Center,Britten Tote,Beige,Canvas,Medium,Hanoi,45,14,59,Fall,193,212,47,-165
South Coast Plaza,Kira Chevron Tote,Black,Leather,Medium,Shenzhen,49,17,66,Fall,98,107,12,-95
Pacific Centre,Gemini Link Tote,Red,Pebbled Leather,Large,Shenzhen,47,14,61,Fall,65,71,83,12
NorthPark Center,Kira Chevron Tote,Brown,Coated Canvas,Large,Da Nang,40,14,54,Winter,66,52,7,-45
Westfield World Trade Center,Ella Tote,White,Coated Canvas,Medium,Hanoi,39,17,56,Spring,287,344,21,-323
Pacific Centre,Britten Tote,Green,Canvas,Mini,Da Nang,32,17,49,Summer,232,232,42,-190
Pacific Centre,Ella Tote,Black,Coated Canvas,Medium,Shenzhen,48,16,64,Winter,135,108,17,-91
NorthPark Center,Britten Tote,White,Canvas,Small,Ho Chi Minh City,41,18,59,Fall,300,330,293,-37
Pacific Centre,Britten Tote,Black,Canvas,Small,Hanoi,50,14,64,Winter,236,188,198,10
San Francisco Centre,Britten Tote,Gray,Pebbled Leather,Large,Ho Chi Minh City,50,18,68,Winter,113,90,93,3
Soho,Perry Tote,Green,Leather,Large,Shenzhen,41,14,55,Summer,280,280,66,-214
Yorkdale Shopping Centre,T Monogram Tote,Metallic,Pebbled Leather,Medium,Guangzhou,36,16,52,Winter,205,164,133,-31
Westfield World Trade Center,Perry Tote,Gray,Coated Canvas,Small,Ho Chi Minh City,40,14,54,Summer,67,67,116,49
South Coast Plaza,Ella Tote,Green,Jacquard,Large,Guangzhou,37,15,52,Summer,116,116,155,39
Pacific Centre,Perry Tote,Purple,Leather,Mini,Da Nang,40,15,55,Fall,198,217,63,-154
El Palacio de Hierro (Polanco),Kira Chevron Tote,Pink,Jacquard,Medium,Da Nang,34,14,48,Spring,82,98,3,-95
Westfield World Trade Center,Perry Tote,Beige,Jacquard,Small,Hanoi,43,15,58,Winter,258,206,192,-14
South Coast Plaza,Gemini Link Tote,Red,Leather,Small,Hanoi,37,14,51,Summer,126,126,24,-102
Yorkdale Shopping Centre,Robinson Tote,Brown,Leather,Medium,Ho Chi Minh City,48,15,63,Spring,172,206,95,-111
Yorkdale Shopping Centre,McGraw Tote,Gray,Jacquard,Mini,Guangzhou,31,14,45,Summer,97,97,51,-46
Aventura Mall,Perry Tote,Multi,Leather,Mini,Da Nang,31,16,47,Fall,197,216,78,-138
Bal Harbour Shops,McGraw Tote,Green,Pebbled Leather,Medium,Hanoi,48,18,66,Spring,268,321,93,-228
Westfield World Trade Center,McGraw Tote,Green,Coated Canvas,Large,Shenzhen,46,15,61,Fall,251,276,45,-231
Madison Avenue,Britten Tote,Red,Coated Canvas,Small,Ho Chi Minh City,42,15,57,Spring,149,178,197,19
South Coast Plaza,T Monogram Tote,Pink,Leather,Large,Ho Chi Minh City,50,17,67,Winter,54,43,10,-33
Oak Street,Perry Tote,Black,Coated Canvas,Large,Shenzhen,30,18,48,Summer,201,201,55,-146
Yorkdale Shopping Centre,Ella Tote,Blue,Canvas,Large,Ho Chi Minh City,35,17,52,Summer,193,193,127,-66
Bal Harbour Shops,Kira Chevron Tote,Blue,Pebbled Leather,Large,Hanoi,49,14,63,Summer,273,273,285,12
Madison Avenue,Gemini Link Tote,Red,Coated Canvas,Mini,Guangzhou,47,14,61,Fall,265,291,309,18
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Green,Coated Canvas,Small,Guangzhou,38,17,55,Winter,110,88,5,-83
Soho,Kira Chevron Tote,Blue,Jacquard,Mini,Da Nang,32,14,46,Fall,281,309,173,-136
Aventura Mall,Robinson Tote,Red,Jacquard,Small,Da Nang,38,18,56,Summer,123,123,66,-57
Soho,Britten Tote,Purple,Canvas,Small,Shenzhen,48,15,63,Spring,272,326,105,-221
The Galleria,Perry Tote,Yellow,Pebbled Leather,Mini,Da Nang,49,16,65,Summer,148,148,72,-76
Bal Harbour Shops,McGraw Tote,Multi,Coated Canvas,Small,Guangzhou,49,15,64,Summer,297,297,169,-128
San Francisco Centre,Perry Tote,Metallic,Leather,Large,Ho Chi Minh City,31,18,49,Fall,52,57,69,12
Yorkdale Shopping Centre,Gemini Link Tote,Green,Coated Canvas,Medium,Da Nang,33,16,49,Winter,210,168,108,-60
South Coast Plaza,Gemini Link Tote,Pink,Canvas,Mini,Shenzhen,30,17,47,Winter,101,80,84,4
Pacific Centre,McGraw Tote,Green,Canvas,Mini,Guangzhou,31,15,46,Fall,258,283,169,-114
Westfield World Trade Center,Gemini Link Tote,Multi,Leather,Medium,Hanoi,42,18,60,Fall,148,162,9,-153
